Accuracy;Loss
0.5898;1.09
0.7354;0.7152
0.7779;0.5842
0.8262;0.4573
0.865;0.3642
0.8946;0.2899
0.9157;0.2379
0.9294;0.2003
0.9393;0.1732
0.9504;0.1468
0.9536;0.1349
0.9584;0.1208
0.9596;0.116
0.9648;0.1029
0.9688;0.0926
0.9687;0.092
0.9719;0.0832
0.9748;0.076
0.9757;0.0738
0.9754;0.0731
0.979;0.0645
0.979;0.0632
0.977;0.0661
0.9806;0.0587
0.9824;0.054
0.9826;0.0527
0.9817;0.0541
0.9865;0.0441
0.9837;0.0488
0.9851;0.0458
0.9866;0.042
0.9863;0.0418
0.9861;0.0424
0.9873;0.0391
0.988;0.0374
0.9884;0.0367
0.9891;0.0339
0.9895;0.033
0.9885;0.0347
0.9896;0.0332
0.9906;0.03
0.99;0.0313
0.9892;0.032
0.992;0.026
0.9915;0.0267
0.9902;0.0304
0.9926;0.0241
0.9914;0.0268
0.9926;0.0239
0.9922;0.0254
