Accuracy;Loss
0.5798;1.1222
0.7345;0.7408
0.7545;0.6595
0.7913;0.543
0.8303;0.4413
0.8609;0.366
0.8868;0.3039
0.9085;0.2533
0.9207;0.2198
0.9351;0.1859
0.9434;0.1631
0.9499;0.1461
0.9551;0.1304
0.9614;0.1156
0.9636;0.1085
0.967;0.0991
0.9701;0.0912
0.9691;0.0907
0.9752;0.078
0.9754;0.0768
0.9768;0.0719
0.9777;0.0688
0.9798;0.0636
0.9804;0.0611
0.9809;0.0601
0.9822;0.0557
0.9831;0.0536
0.984;0.051
0.9861;0.0464
0.9856;0.0468
0.9846;0.0494
0.9877;0.0411
0.9868;0.0425
0.9882;0.0394
0.9862;0.044
0.99;0.0347
0.9884;0.0393
0.9892;0.035
0.9902;0.0332
0.991;0.0314
0.9899;0.0352
0.9933;0.0259
0.9913;0.0295
0.9919;0.0275
0.9923;0.0264
0.9919;0.027
0.9924;0.0264
0.9925;0.0253
0.9938;0.0224
0.9941;0.0213
